Wall time,Step,Value
1720863317.481523,2144000,56628.43359375
1720863396.570884,2148000,55196.0234375
1720863603.559666,2158000,56663.68359375
1720863642.9545002,2160000,56714.93359375
1720863682.248061,2162000,56757.3671875
1720863702.608141,2163000,56713.234375
1720863780.9417942,2167000,56186.56640625
1720863839.50769,2170000,56104.88671875
1720864002.594025,2178000,55916.9921875
1720864083.248566,2182000,55179.2421875
1720864372.025074,2196000,55441.48046875
1720864451.251013,2200000,55471.15625
1720864490.528296,2202000,54778.97265625
1720864591.232757,2207000,55597.359375
1720864611.5771148,2208000,55650.37890625
1720864651.8498812,2210000,55589.90625
1720864713.7721212,2213000,54863.2265625
1720864754.652132,2215000,54828.22265625
1720864796.1298912,2217000,54088.890625
1720864818.748491,2218000,54092.18359375
1720864962.686094,2225000,54514.6171875
1720865025.5857658,2228000,55502.53515625
1720865134.08791,2233000,56399.9140625
1720865528.7515311,2252000,55381.80859375
1720865734.829746,2262000,54805.15234375
1720865860.526059,2268000,55315.3984375
1720865984.316872,2274000,56957.2578125
1720866068.004149,2278000,55479.9765625
1720866089.619338,2279000,55489.140625
1720866320.220395,2290000,55171.1640625
1720866340.7444422,2291000,55168.99609375
1720866381.821196,2293000,55157.30859375
1720866653.614592,2306000,56605.1015625
1720868288.396014,2315000,54721.265625
1720868447.0112178,2324000,54514.86328125
1720868745.602041,2341000,54063.70703125
1720869064.356006,2359000,54855.296875
1720869081.8688571,2360000,54898.09375
1720869117.813874,2362000,54991.578125
1720869262.355998,2370000,54690.87109375
1720869301.671701,2372000,54839.94921875
1720869377.769459,2376000,55022.60546875
1720869576.65303,2386000,55400.58984375
1720869731.0042298,2394000,54937.515625
1720869751.231643,2395000,54996.64453125
1720869964.138771,2406000,56793.96484375
1720870119.145587,2414000,55770.1875
1720870240.677742,2420000,55942.9453125
1720870260.582052,2421000,55248.57421875
1720870299.665421,2423000,55289.02734375
1720870340.517898,2425000,55383.83203125
1720870439.659876,2430000,55497.171875
1720870934.0595891,2455000,54671.34765625
1720870953.7184708,2456000,54665.66015625
1720871153.924968,2466000,54831.5859375
1720871192.985844,2468000,54224.765625
1720871272.755729,2472000,52447.3515625
1720871292.951616,2473000,52435.47265625
1720871580.646176,2487000,53421.81640625
1720871696.82381,2493000,53737.63671875
1720871794.764261,2498000,53389.05859375
1720871833.1824708,2500000,54409.42578125
1720871871.594383,2502000,54512.30078125
1720871910.9421492,2504000,54455.796875
1720872169.011234,2517000,54414.90234375
1720872249.516169,2521000,55132.890625
1720872288.333009,2523000,55100.203125
1720872345.332216,2526000,55431.2265625
1720872520.1513941,2535000,53834.09375
1720872540.050942,2536000,53830.54296875
1720872738.399482,2546000,53851.875
1720872778.9842932,2548000,53834.24609375
1720873020.481788,2560000,53886.12890625
1720873040.3584352,2561000,54484.24609375
1720873060.121539,2562000,54957.109375
1720873137.352753,2566000,54856.71875
1720873216.3106718,2570000,54551.58203125
1720873336.016734,2576000,54863.2421875
1720873674.5983071,2593000,53857.37890625
1720873794.915497,2599000,53942.109375
1720873814.8576798,2600000,53951.6328125
1720873979.456084,2608000,54803.1796875
1720874104.605022,2614000,54870.765625
1720874227.854444,2620000,55949.765625
1720874331.6182148,2625000,57172.35546875
1720876001.0302029,2635000,55925.80078125
1720876071.826093,2639000,55880.05859375
1720876107.267058,2641000,55863.2421875
1720876195.1700768,2646000,55422.6328125
1720876283.2026088,2651000,55487.984375
1720876518.0892868,2664000,54100.15234375
1720876653.4106848,2671000,54209.52734375
1720876946.058013,2686000,54236.99609375
1720877175.628739,2698000,53124.2890625
1720877232.754126,2701000,53206.88671875
1720877347.834812,2707000,53397.36328125
1720877501.9788249,2715000,53590.046875
1720877521.6461508,2716000,53625.02734375
1720877541.0525482,2717000,53623.23046875
1720877560.398835,2718000,53651.5546875
1720877733.912291,2727000,51874.9375
1720878199.1778529,2750000,52332.70703125
1720878218.442796,2751000,52732.375
1720878238.8842502,2752000,52757.5546875
1720878379.261193,2759000,52658.95703125
1720878597.773708,2770000,51891.26953125
1720878636.477757,2772000,51907.4921875
1720878870.822974,2784000,53444.86328125
1720878889.512217,2785000,53441.0859375
1720878948.62514,2788000,53456.48828125
1720878988.384293,2790000,53470.85546875
1720879009.031728,2791000,53500.6484375
1720879047.901147,2793000,53005.796875
1720879422.23104,2812000,53317.859375
1720879583.207277,2820000,53701.94140625
1720879826.540426,2832000,54635.39453125
1720879846.573354,2833000,54646.01171875
1720880005.581743,2841000,54219.19921875
1720880025.177021,2842000,54189.453125
1720880144.9637032,2848000,54175.91015625
1720880204.842776,2851000,54239.35546875
1720880323.51825,2857000,55431.46875
1720880362.992379,2859000,55336.0859375
1720880402.683171,2861000,54827.609375
1720880741.1009831,2878000,54914.03125
1720880780.212106,2880000,54939.24609375
1720880799.548919,2881000,55381.890625
1720880818.6360261,2882000,54981.4921875
1720881035.5509892,2893000,56071.56640625
1720881405.386139,2911000,54853.5390625
1720881756.3223622,2928000,55899.8671875
1720881906.108735,2935000,53909.78125
1720881928.136862,2936000,53854.8125
1720881992.67887,2939000,53787.23046875
1720883080.540123,2954000,54160.62109375
1720883149.7827342,2958000,54267.30859375
1720883236.53993,2963000,54529.5234375
1720883271.268826,2965000,53757.53515625
1720883306.8924239,2967000,53835.49609375
1720883341.200825,2969000,53937.80078125
1720883377.321728,2971000,54013.82421875
1720883447.430781,2975000,54189.23046875
1720883464.2101219,2976000,54199.5
1720883656.377505,2987000,54154.5859375
1720883708.888299,2990000,53574.69140625
1720883851.164608,2998000,53938.73046875
1720883906.325344,3001000,54055.23046875
1720883923.817631,3002000,54101.75
1720884068.420662,3010000,54313.48828125
1720884340.867758,3025000,54688.58203125
1720884419.921066,3029000,54039.10546875
1720884460.652252,3031000,54084.49609375
1720884758.426228,3046000,54402.58984375
1720885013.455136,3059000,54640.23046875
1720885461.993729,3082000,53911.77734375
1720885755.3648949,3097000,54286.05859375
1720885774.406858,3098000,54252.17578125
1720885889.2098932,3104000,53641.88671875
1720885907.692416,3105000,54019.01953125
1720886005.996135,3110000,53434.1171875
1720886102.9276328,3115000,52898.0234375
1720886180.367431,3119000,53768.328125
1720886220.1122198,3121000,53803.30078125
